"ID","M1_T1","M1_T2","M1_T3","M1_T4","M1_T5","M1_T6","M1_T7","M1_T8","M2_T1","M2_T2","M2_T3","M2_T4","M2_T5","M2_T6","M2_T7","M2_T8","M3_T1","M3_T2","M3_T3","M3_T4","M3_T5","M3_T6","M3_T7","M3_T8","M4_T1","M4_T2","M4_T3","M4_T4","M4_T5","M4_T6","M4_T7","M4_T8","M5_T1","M5_T2","M5_T3","M5_T4","M5_T5","M5_T6","M5_T7","M5_T8","M6_T1","M6_T2","M6_T3","M6_T4","M6_T5","M6_T6","M6_T7","M6_T8"
10,748.55,24,612,0,0,45.54,0,0,609.11,22,645,0,0,38.93,0,0,881.92,23,672,0,0,38.08,0,0,489.97,17,486,0,0,30.08,0,0,545.4,15,408,0,0,29.7,0,0,487.01,17,489,0,0,30.5,0,0
36,1196.29,20,627,0,0,49.23,0,0,1121.4,21,751,0,0,40.35,0,0,1196.67,21,638,0,0,51.23,0,0,825.06,12,400,0,0,34.85,0,0,923.41,14,408,0,0,30.42,0,0,897.45,16,464,0,0,31.87,0,0
40,515.88,13,804,0,0,39.24,0,0,573.13,13,700,0,0,32.9,0,0,530.05,13,937,0,0,44.83,0,0,349.16,10,535,0,0,31.13,0,0,379.79,9,498,0,0,29.78,0,0,376.57,10,548,0,0,27.94,0,0
66,775.64,21,745,0,0,36.62,0,0,778.32,17,869,0,0,33.01,0,0,633.84,19,663,0,0,40.2,0,0,617.09,15,500,0,0,26.49,0,0,544.39,14,514,0,0,26.63,0,0,552.27,13,470,0,0,25.28,0,0
72,848.8,16,919,0,0,42.03,0,0,973.41,15,1084,0,0,47.73,0,0,824.26,17,845,0,0,48.54,0,0,621.15,10,652,0,0,29.83,0,0,551.4,11,734,0,0,31.26,0,0,546.74,10,627,0,0,33.44,0,0
77,806.47,22,894,0,0,58.17,0,0,796.77,25,776,0,0,60.28,0,0,672.8,19,1053,0,0,63.17,0,0,576.96,13,593,0,0,41.14,0,0,551.01,14,552,0,0,43.5,0,0,578.68,15,618,0,0,41.81,0,0
80,725.02,16,914,0,0,42.12,0,0,863.4,16,1044,0,0,33.97,0,0,778.44,17,912,0,0,38.11,0,0,546.31,12,625,0,0,32.78,0,0,568.76,10,600,0,0,25.72,0,0,579.77,10,686,0,0,28.68,0,0
102,689.44,23,788,0,0,60.68,0,0,708.84,25,798,0,0,68.87,0,0,670.01,24,743,0,0,53.36,0,0,497.87,15,623,0,0,46.06,0,0,448.24,17,515,0,0,45.62,0,0,504.57,18,579,0,0,39.29,0,0
105,613.87,17,969,0,0,63.08,0,0,633.05,19,1010,0,0,68.65,0,0,549.65,20,803,0,0,65.29,0,0,479.95,11,754,0,0,39.22,0,0,473.11,13,681,0,0,49.28,0,0,438.97,12,615,0,0,42.66,0,0
119,508.68,18,805,0,0,42.8,0,0,557.74,15,889,0,0,48.06,0,0,582.79,20,848,0,0,34.37,0,0,346.44,14,484,0,0,30.41,0,0,331.38,12,609,0,0,26.95,0,0,355.57,11,571,0,0,26.73,0,0
123,825.53,17,538,0,0,60.13,0,0,900.81,18,480,0,0,58.22,0,0,670.62,19,530,0,0,51.4,0,0,520.52,10,408,0,0,37.08,0,0,547.48,12,338,0,0,46.26,0,0,659.25,13,324,0,0,45.45,0,0
225,761.56,22,953,0,0,63.3,0,0,878.23,20,918,0,0,50.78,0,0,695.98,19,949,0,0,67.5,0,0,576.98,17,579,0,0,38.03,0,0,538.3,15,589,0,0,49.46,0,0,458.97,14,686,0,0,43.63,0,0
237,1173.37,24,726,0,0,22.1,0,0,1381.29,20,834,0,0,22.98,0,0,1004.5,28,685,0,0,17.96,0,0,773.7,16,484,0,0,17.38,0,0,847,16,484,0,0,15.57,0,0,917.67,15,483,0,0,16.82,0,0
250,603.23,25,550,0,0,36.59,0,0,671.17,28,519,0,0,43.18,0,0,527.71,23,658,0,0,35.27,0,0,398.98,18,374,0,0,24.52,0,0,478.41,18,428,0,0,28.23,0,0,395.28,18,419,0,0,22.35,0,0
257,1088.12,20,625,0,0,59.49,0,0,1085.29,24,691,0,0,63.63,0,0,908.66,17,680,0,0,53.08,0,0,802.49,14,464,0,0,46.35,0,0,712.84,12,399,0,0,42.32,0,0,833.73,14,472,0,0,43.35,0,0
318,938.29,19,965,0,0,53.9,0,0,1033.22,17,989,0,0,63.88,0,0,795.04,16,1111,0,0,47.89,0,0,690.88,14,731,0,0,33.04,0,0,564.69,13,705,0,0,33.14,0,0,666.06,13,703,0,0,38.62,0,0
351,893.92,14,590,0,0,50.2,0,0,1066.29,12,652,0,0,45.68,0,0,882.48,11,607,0,0,40.74,0,0,688.12,10,394,0,0,31.06,0,0,659.9,11,410,0,0,31.53,0,0,537.02,10,382,0,0,39.78,0,0
394,870.04,18,566,0,0,47.3,0,0,820.06,17,573,0,0,39.43,0,0,764.82,15,612,0,0,45.06,0,0,575.59,13,433,0,0,30.79,0,0,607.39,12,408,0,0,35.33,0,0,632.93,14,432,0,0,32.08,0,0
418,788.1,19,630,0,0,31.61,0,0,929.06,22,719,0,0,26.42,0,0,773.77,21,704,0,0,27.01,0,0,559.05,15,486,0,0,23.09,0,0,587.86,12,459,0,0,19.65,0,0,523.24,13,414,0,0,24.28,0,0
433,540.77,20,823,0,0,70.29,0,0,596.56,22,785,0,0,62.68,0,0,510.94,19,843,0,0,84.29,0,0,403.73,15,633,0,0,54.98,0,0,377.32,16,529,0,0,46.71,0,0,387.19,14,641,0,0,54.91,0,0
