"outlierScore","ID","M1_T1","M1_T2","M1_T3","M1_T4","M1_T5","M1_T6","M1_T7","M1_T8","M2_T1","M2_T2","M2_T3","M2_T4","M2_T5","M2_T6","M2_T7","M2_T8","M3_T1","M3_T2","M3_T3","M3_T4","M3_T5","M3_T6","M3_T7","M3_T8","M4_T1","M4_T2","M4_T3","M4_T4","M4_T5","M4_T6","M4_T7","M4_T8","M5_T1","M5_T2","M5_T3","M5_T4","M5_T5","M5_T6","M5_T7","M5_T8","M6_T1","M6_T2","M6_T3","M6_T4","M6_T5","M6_T6","M6_T7","M6_T8"
0.922818030164764,29350,3196.39,199,827,8415.54,10783.91,267.45,2195.57,0,2701.33,233,917,7043.02,12835.67,295.3,2195.57,0,3593.56,169,838,7929.41,8844.77,289.01,2195.57,0,3813.34,219,702,9473.55,12846.22,238.17,2195.57,0,3809.41,189,720,9888.38,12436.26,245.97,2195.57,0,2762.3,230,981,7392.64,9085.93,233.31,2195.57,0
0.913182396481697,2435,5154.08,218,489,1732.63,4671.45,283.76,1006.52,0,5385.66,215,434,1465.92,4378.19,241.68,1006.52,0,5762.42,244,478,1563.96,3912.52,336.93,1006.52,0,5534.85,186,431,1782.43,4752.21,332.84,1006.52,0,6042.64,224,412,1470.39,4194.23,234.84,1006.52,0,5588.06,209,584,1458,5091.5,262.14,1006.52,0
0.910885313725973,35683,5059.77,198,463,1757.15,2727.17,332.97,2653.13,0,4081.82,176,373,1632.47,2863.6,348.69,2653.13,0,4542.6,175,503,1649.58,3222.74,332.72,2653.13,0,5291.84,178,419,2049.32,2562.21,398.85,2653.13,0,4239.34,170,408,1652.03,3078.6,399.52,2653.13,0,5976.58,205,555,1518.28,2576.27,318.4,2653.13,0
0.907418930109893,88849,6177.46,197,359,1652.26,4289.62,234.49,1883.52,0,6439.34,166,412,1970.53,4975.16,266.9,1883.52,0,5522.34,234,410,1679,4637.32,231.04,1883.52,0,7229.5,229,361,1435.79,4588.24,266.48,1883.52,0,6503.54,162,402,1850.54,4736,230.48,1883.52,0,6948.71,217,360,1471.69,4606.06,198,1883.52,0
0.897371233605274,98035,4669.47,194,513,11059.66,9297.59,490.17,2318.85,0,5148.06,207,514,13066.86,7650.88,477.63,2318.85,0,4824.54,225,563,9363.24,9402.84,479.32,2318.85,0,5400.95,156,615,8988.41,10516.24,393.81,2318.85,0,3911.14,161,423,11436.09,10302.84,547.53,2318.85,0,4241.14,169,590,11916.4,9808.01,567.83,2318.85,0
0.895604689511475,46930,4213.97,193,547,4868.67,5260.91,838.23,2701.05,0,4923.04,218,601,4152.21,5035.43,882.14,2701.05,0,4352.06,159,617,5047.2,4785.87,969.1,2701.05,0,4061.82,160,463,5514.68,4813.71,988.35,2701.05,0,3727.56,165,604,5788.68,4695.9,785.2,2701.05,0,5010.12,172,485,4504.5,6089.5,700.75,2701.05,0
0.894416430042066,81225,4150.83,205,587,9185.32,10969.02,266.53,1891.34,0,4292.6,202,669,7882.71,11385.65,231.44,1891.34,0,4858.93,232,483,10517.83,12901.54,215.85,1891.34,0,3531.2,205,656,9556.74,12153.97,214.89,1891.34,0,4747.08,211,558,8622.44,10217.35,214.72,1891.34,0,4485.23,183,689,10389.78,12899.12,263.54,1891.34,0
0.888287392292551,28023,4293.63,199,304,5203.53,5272.67,708.62,2926.16,0,3891.34,193,287,5964.04,6096.42,570.14,2926.16,0,3931.24,189,247,4584.87,5930.64,647.66,2926.16,0,4387.71,205,315,4408.9,4267.37,663.01,2926.16,0,3799.36,215,277,6047.06,5951.97,644.16,2926.16,0,4515.16,181,272,4674.29,4361.27,730.24,2926.16,0
0.888083871346121,34076,6756.98,201,302,2846.6,2497.64,339.04,2748.19,0,6631.9,234,305,2501.42,2274.98,332.04,2748.19,0,6477.34,224,299,2460,2484.99,303.24,2748.19,0,7375.79,198,253,3233.28,2809.12,360.12,2748.19,0,5766.54,195,248,3384.74,2577.78,349.29,2748.19,0,7573.96,221,353,2742.1,2482.98,358.45,2748.19,0
0.881684639637204,92551,3513.24,212,357,9514.5,9324.64,223.62,1232.3,0,3064.19,201,369,7697.61,10905.07,213.55,1232.3,0,2821.23,197,300,11160.57,8606.2,191.84,1232.3,0,4212.6,179,327,8308.98,11032.61,251.87,1232.3,0,3714.69,250,407,11414.53,10473.36,196.48,1232.3,0,2920.46,198,400,11287.05,8473.57,228.27,1232.3,0
