"ID","M1_T1","M1_T2","M1_T3","M1_T4","M1_T5","M1_T6","M1_T7","M1_T8","M2_T1","M2_T2","M2_T3","M2_T4","M2_T5","M2_T6","M2_T7","M2_T8","M3_T1","M3_T2","M3_T3","M3_T4","M3_T5","M3_T6","M3_T7","M3_T8","M4_T1","M4_T2","M4_T3","M4_T4","M4_T5","M4_T6","M4_T7","M4_T8","M5_T1","M5_T2","M5_T3","M5_T4","M5_T5","M5_T6","M5_T7","M5_T8","M6_T1","M6_T2","M6_T3","M6_T4","M6_T5","M6_T6","M6_T7","M6_T8"
20,16551.48,1484,2611,4927.03,8254.05,961.13,4497.11,0,15812.06,1232,2260,5853.43,7864.01,808.88,4497.11,0,13780.44,1343,2481,5750.62,7109.1,1041.16,4497.11,0,6383.52,473,914,1668.81,3379.74,447.73,4497.11,0,7792.48,469,1133,1619.83,3628.14,397.16,4497.11,0,5137.87,473,790,2134.94,3053.52,342.93,4497.11,0
24,16726.5,1496,2781,3670.31,3905.01,952.04,5694.12,0,14019.82,1741,2910,3130.39,3851.4,901.65,5694.12,0,18437.67,1360,3328,4080.58,4326.87,1077.11,5694.12,0,6005.97,627,889,1809.64,1868.82,464.37,5694.12,0,6653.52,534,1365,1537.62,1224.35,365.59,5694.12,0,6121.97,694,1222,1809.46,1205.6,327.29,5694.12,0
41,18611.29,1537,1575,5541.72,1738.95,887.21,7020.19,0,21988.81,1382,1799,6341.49,1406.16,861.93,7020.19,0,20005.74,1352,1426,5539.38,1715.17,986.34,7020.19,0,9239.36,590,780,2653.97,628,349.77,7020.19,0,8140.15,649,765,2393.2,674.93,279.81,7020.19,0,6955.35,526,521,2489.1,563.82,349.59,7020.19,0
70,18514.95,1550,2665,6277.17,4116.37,570.03,4899.84,0,17297.56,1795,2243,6464.15,4441.65,677.07,4899.84,0,20035.08,1821,2295,5088.59,3378.9,572.97,4899.84,0,7745.29,700,842,2265.86,1460.23,282.49,4899.84,0,6130.76,491,1107,2642.77,1517.67,188.57,4899.84,0,6728.07,723,891,2777.51,1542.45,187.96,4899.84,0
95,17589.91,1532,2164,4579.2,2287.86,857.73,5787.99,0,19099.51,1726,2221,5448.89,1980.5,915.43,5787.99,0,19604.14,1667,2311,4148.92,2665.49,1028.91,5787.99,0,7918.81,600,917,1943.1,1056.32,267.77,5787.99,0,6462.61,751,1009,1973.62,887.58,415.09,5787.99,0,8597.79,476,887,1433.27,831.47,305.69,5787.99,0
100,16999.26,1485,1733,6131.56,4674.12,558.43,5277.5,0,14769.85,1188,1487,5701.51,5074.01,569.85,5277.5,0,18636.51,1466,2025,6587.72,5342.95,569.25,5277.5,0,7731.84,702,600,2705.97,1885.28,226.1,5277.5,0,6350.32,680,664,3028.55,2328.14,170.27,5277.5,0,7091.01,688,668,2139.63,2329.56,269.62,5277.5,0
106,16978.66,1456,1552,5294.97,3426.81,1020.98,6029.17,0,20201.37,1670,1500,4996.07,3131.81,876.39,6029.17,0,20083.99,1445,1297,5057.44,3512.5,834.69,6029.17,0,7695.36,581,468,1632.12,1373.1,333.3,6029.17,0,7013.77,579,547,1974.82,1419.61,434.32,6029.17,0,5808.4,548,761,1653.86,1359.27,412.91,6029.17,0
114,17167.66,1547,3645,2910.33,4642.96,1125.92,5217.18,0,15651.4,1337,3080,3187.96,4602.55,1256.38,5217.18,0,19980.95,1720,3343,2454.95,4247.43,1284.75,5217.18,0,6208.76,562,1546,1330.83,1850.47,400.3,5217.18,0,8381.88,481,1571,1257.58,2169.15,556.29,5217.18,0,5830.16,635,1316,1083.89,1844.91,482.63,5217.18,0
171,17005.43,1497,1731,5469.84,4045.6,701.87,7407.22,0,14808.91,1217,2019,5042.09,3815.3,720.3,7407.22,0,16920.34,1454,1465,5519.58,4332.58,600.07,7407.22,0,5946.03,683,783,1967.94,1849.62,315.24,7407.22,0,8272.5,581,559,1715.89,1893.02,251.72,7407.22,0,7307,517,652,2161.14,1693.44,248.61,7407.22,0
217,16689.92,1532,2637,3317.25,3909.84,1135.31,6466.38,0,16142.66,1588,2701,2791.84,3892.72,1159.09,6466.38,0,19155.23,1673,2735,3957.74,4007.39,1167.39,6466.38,0,7218.27,466,890,1470.51,1286.94,352.24,6466.38,0,6697.43,653,971,1275.91,1670.02,376.7,6466.38,0,7801.95,732,1065,1160.26,1806.82,458.99,6466.38,0
233,16268.71,1493,1780,2372.62,3900.98,699.5,3418.21,0,13598.18,1621,1711,2235.52,3923.67,629.1,3418.21,0,18980.12,1714,2117,2215.17,3780.14,798.16,3418.21,0,7486.64,594,735,944.86,1525.59,313.52,3418.21,0,6868.81,584,855,714.42,1456.4,247.98,3418.21,0,5622.1,590,609,912.16,1772.85,269.99,3418.21,0
240,17191.76,1503,2872,3160.13,4863.66,563.56,4271.22,0,14193.78,1512,3000,2564.42,5817.89,546.5,4271.22,0,16104.24,1785,3010,3726.5,4996.17,648.21,4271.22,0,5565,590,1045,1493.46,2409.82,192.05,4271.22,0,6986.45,595,1063,1576.75,1787.47,260.06,4271.22,0,5296.79,508,904,1365.32,2154.04,262.39,4271.22,0
292,17458.68,1504,2236,3797.79,4975.26,1206.67,5978.84,0,17532.18,1428,2305,3987.66,4743.97,1413.59,5978.84,0,18696.38,1648,2014,3679.3,4303.28,1239.8,5978.84,0,6758.55,582,684,1287.84,1671.34,388.06,5978.84,0,5714.28,682,788,1822.71,1725.22,511.66,5978.84,0,7692.37,519,1054,1280.7,1574.61,458.96,5978.84,0
309,16882.55,1472,3188,4203.82,4366.52,1267.17,3389.53,0,19077.22,1582,3483,3960.23,4685.33,1443.88,3389.53,0,15648.31,1516,3134,4545.34,3556.49,1442.62,3389.53,0,6132.63,674,968,1442.56,1801.71,607.81,3389.53,0,7776.24,613,1370,1719.19,1326.66,511.95,3389.53,0,7451.53,598,1097,1444.41,1640.66,519.98,3389.53,0
314,17277.96,1450,2781,4219.94,5588.92,1021.36,4810.71,0,18021.76,1641,2659,3911.79,5864.82,1170.15,4810.71,0,20553.17,1499,2782,3972.24,6437.11,1164.73,4810.71,0,7710.85,694,998,1779.89,2338.6,399.55,4810.71,0,6627.79,546,1263,1381.63,2622.7,460.36,4810.71,0,5811.12,679,931,1717.67,2287.03,369.34,4810.71,0
366,16393.56,1525,2686,5406.17,1609.91,804.39,6129.28,0,15473.54,1479,2174,5291.99,1726.57,827.79,6129.28,0,19378.19,1511,2150,4761.98,1371.34,936.73,6129.28,0,4928.94,680,1132,2107.96,698.32,285.99,6129.28,0,5778.05,557,877,1939.1,570.48,380.18,6129.28,0,5164.83,715,930,1697.94,571.7,307.01,6129.28,0
371,16648.03,1501,1231,4971.54,3910.73,1297.95,7072.49,0,15634.06,1726,1024,4240.99,3910.99,1502.6,7072.49,0,15158.15,1487,1234,4298.82,3190.11,1493.82,7072.49,0,5733.54,677,493,2274.89,1411.89,590.43,7072.49,0,6231.89,680,416,2276.63,1432.84,618.5,7072.49,0,7789.69,468,538,1960.95,1946.24,544.95,7072.49,0
413,16605.24,1480,2865,2747.47,3500.69,749.87,5684.96,0,19230.81,1222,3135,3079.27,3121.43,878.17,5684.96,0,16339.86,1532,2398,2985.14,2890.3,605.63,5684.96,0,7050.13,618,1253,1009.55,1740.54,321.06,5684.96,0,7839.66,466,984,1134.03,1339.49,249.41,5684.96,0,5412.88,506,1009,1304.87,1349.51,276.37,5684.96,0
419,16592.1,1549,1778,4985.7,4132.15,950.05,4092.52,0,18061.87,1318,1908,5142.9,3571.67,1064.72,4092.52,0,14924.25,1491,1429,5487.86,4922.85,1020.3,4092.52,0,5812.36,591,722,1848.78,1526.81,386.9,4092.52,0,7675.84,635,767,2207.87,1990.15,368.37,4092.52,0,5049.62,583,827,2302.84,1587.08,329.38,4092.52,0
463,16722.98,1497,2571,4773.56,4942.02,904.05,4992.62,0,18410.44,1398,2251,4906.93,4734.43,940.89,4992.62,0,20015.62,1543,2305,5651.24,5033.3,1023.96,4992.62,0,6669.97,490,1244,1515.32,2299.03,403.17,4992.62,0,7390.34,728,888,1742.2,1515.17,279.44,4992.62,0,8292.21,660,901,2163.78,2058.49,447.17,4992.62,0
471,17244.65,1440,2658,3105.41,2093.45,1023.75,4524.51,0,18664.34,1368,2842,3092.82,2386.52,1192.58,4524.51,0,18385.04,1542,2330,3566.59,2366.21,1126.51,4524.51,0,6980,691,1000,1157.62,736.84,457.97,4524.51,0,7520.89,681,1031,1417.62,936.92,431.76,4524.51,0,7713.17,702,1267,1134.24,1040.31,390.94,4524.51,0
475,16956.64,1506,2258,2257.77,5859.38,865.24,5149.61,0,16477.22,1688,2077,2502.39,6359.8,953.45,5149.61,0,16243.48,1250,2103,2109.54,5184,886.19,5149.61,0,6122.26,555,732,704.56,2324.72,318.28,5149.61,0,6242.5,522,732,796.4,2070.83,413.77,5149.61,0,7909.14,477,719,934.7,2104.94,397.75,5149.61,0
495,15716.2,1498,1585,3112.12,3671.17,998.21,5605.55,0,18072.23,1444,1618,2899.74,3472.08,889.59,5605.55,0,17845.63,1320,1740,2732.78,4299.77,1043.87,5605.55,0,6470.8,635,766,1034.22,1213.84,366.06,5605.55,0,5925.43,593,490,1289.89,1800.96,496.97,5605.55,0,6609.91,533,722,990.02,1749.95,359.71,5605.55,0
499,17657.02,1492,2613,1604.94,2507.23,1014.38,5613.44,0,17363.37,1428,2744,1796.12,2172.15,958.86,5613.44,0,15494.77,1526,2109,1768.8,2022.19,939.31,5613.44,0,7878.42,692,971,518.2,1212.25,340.36,5613.44,0,5771.8,465,1033,495.17,1032.92,365.74,5613.44,0,7361.9,555,856,535.45,1182.97,391.19,5613.44,0
528,18128.44,1488,2843,5421.83,3502.32,704.08,3730.28,0,17381.71,1336,2669,5531.31,3153.37,834.58,3730.28,0,17665.64,1514,3188,5929.1,4163.05,656.43,3730.28,0,6252.1,683,1171,1933.85,1373.51,218.5,3730.28,0,7563.75,640,898,2199.43,1397.62,314.04,3730.28,0,8268.11,566,1202,1666.88,1438.2,212.63,3730.28,0
542,16172.73,1479,2468,5063.39,3347.62,1316.28,4871.75,0,16308.41,1673,2247,5898.71,2889.67,1128.12,4871.75,0,17745.36,1202,2376,5797.59,3940.62,1202.38,4871.75,0,5379.56,506,1000,1932.1,1294.09,610.69,4871.75,0,7127.47,720,1131,2351.85,1480.82,546.98,4871.75,0,6655.05,566,831,1739.64,1203.56,497.67,4871.75,0
557,15607.83,1505,2580,5220.44,2098.42,1221.51,4267.84,0,15241.73,1627,2131,4834.22,2305.8,1373.77,4267.84,0,15515,1558,2643,5966,2046.58,1301.32,4267.84,0,5265.5,595,940,2356.87,999.15,505.25,4267.84,0,4817.67,703,1282,1968.12,920.1,596.53,4267.84,0,5129.68,690,1012,1744.77,727.88,488.61,4267.84,0
558,16631.15,1539,2208,4479.66,5023.29,1030.85,4400.86,0,15889.43,1391,2343,4903.92,5401.84,895.22,4400.86,0,16224.92,1499,2006,3996.79,4390.69,1046.84,4400.86,0,5816.43,506,855,1843.78,1879.67,381.38,4400.86,0,8191.4,648,1038,1766.16,1762.26,402.03,4400.86,0,7232.22,590,809,2031.99,2132.27,456.19,4400.86,0
559,17242.33,1458,2561,4072.93,5292.49,635.93,4614.47,0,16789.33,1563,2847,3376.04,5540.94,616.04,4614.47,0,17172.71,1558,2064,3427.27,5390.99,567.65,4614.47,0,5395.76,616,1031,1462.01,1797.46,219.87,4614.47,0,6774.13,702,891,1715.66,2299.16,259.23,4614.47,0,6950.76,521,1200,1909.28,2411.35,257.89,4614.47,0
579,17527.79,1439,2602,4627.36,5338.23,1171.3,6352.62,0,14070.62,1317,3037,5250.97,4526.14,1041.58,6352.62,0,16704.53,1346,2733,4978.32,5089.95,1020.05,6352.62,0,8736.17,468,1267,1753.93,2405.89,524.87,6352.62,0,7639.34,569,1112,1527.18,1872.41,403.29,6352.62,0,5827.27,708,858,1796.91,2513.48,378.21,6352.62,0
645,16037.26,1489,2216,4710.58,3270.29,1021.1,5253.71,0,13663.13,1249,2168,4980.18,3712.5,1205.06,5253.71,0,12984.37,1755,2599,4966.37,3754.14,1011.33,5253.71,0,7945.52,620,777,1880.12,1014.17,352.61,5253.71,0,6975.34,643,1084,2348.49,1414.06,499.09,5253.71,0,6174.95,479,927,1451.63,1173.15,340.19,5253.71,0
658,17694.53,1504,2828,5705.26,5237.15,1168.05,6372.81,0,14489.69,1785,3217,5790.76,5166.12,1193.94,6372.81,0,14391.68,1564,2639,5110.26,6262.68,1253.43,6372.81,0,6598.89,659,921,2422.38,1777.48,442.56,6372.81,0,8050.89,463,858,1979.92,2526.14,432.27,6372.81,0,8616.28,476,1211,2822.44,2298.73,491.77,6372.81,0
659,16964.03,1507,2111,5034.51,3436.74,799.17,3267.82,0,17115.34,1239,2526,4849.21,2828.69,930.58,3267.82,0,20192.08,1557,1940,4702.39,3371.38,800.23,3267.82,0,7102.31,485,954,1767.64,1169.69,382.97,3267.82,0,7093.27,746,757,1916.25,1086.01,354.19,3267.82,0,5219.81,491,843,1792.68,1507.07,396.14,3267.82,0
670,17974.87,1488,2578,5691.31,5206.52,897.64,4699.32,0,19294.12,1546,2527,5047.9,4379.67,990.84,4699.32,0,20635.04,1711,2619,4612.67,6241.32,777.99,4699.32,0,8326.44,599,880,2787.3,2602.58,332.66,4699.32,0,7394.27,560,775,2675.45,1575.3,353.56,4699.32,0,6317.77,663,795,2197.75,2046.09,365.29,4699.32,0
699,17635.32,1497,3154,5621.93,3457.3,1232.51,4933.34,0,14883.43,1740,2571,6434.9,3666.18,1236.02,4933.34,0,18371.77,1398,2550,6395.16,3244.64,1032.83,4933.34,0,7034.94,555,1286,1710.06,1364.6,574.26,4933.34,0,6088.82,463,1531,2521.75,1567.23,533.18,4933.34,0,7709.09,530,1240,2691.73,1550.3,601.72,4933.34,0
717,17558.03,1459,2080,4843.23,6747.54,867.25,4434.34,0,18681.25,1535,2063,4856.29,5582.47,1020.03,4434.34,0,19669.48,1506,2051,5340.94,7963.48,947.44,4434.34,0,8545.16,632,742,1684.44,2290.97,324.59,4434.34,0,5655.51,657,654,1889.36,3018.9,399.73,4434.34,0,7493.53,585,743,2274.48,2974.18,287.65,4434.34,0
722,17706.07,1505,2040,5043.35,3329.57,1142.19,4315.94,0,19093.41,1529,2237,6038.81,3411.63,1163.65,4315.94,0,20016.32,1522,2439,5837.24,3292.02,1164.19,4315.94,0,6873.34,558,913,1582.81,1344.44,424.99,4315.94,0,6445.97,609,656,1790.58,1143.8,431.96,4315.94,0,6978.27,721,877,1764.18,1534.25,365.38,4315.94,0
