"outlierScore","ID","M1_T1","M1_T2","M1_T3","M1_T4","M1_T5","M1_T6","M1_T7","M1_T8","M2_T1","M2_T2","M2_T3","M2_T4","M2_T5","M2_T6","M2_T7","M2_T8","M3_T1","M3_T2","M3_T3","M3_T4","M3_T5","M3_T6","M3_T7","M3_T8","M4_T1","M4_T2","M4_T3","M4_T4","M4_T5","M4_T6","M4_T7","M4_T8","M5_T1","M5_T2","M5_T3","M5_T4","M5_T5","M5_T6","M5_T7","M5_T8","M6_T1","M6_T2","M6_T3","M6_T4","M6_T5","M6_T6","M6_T7","M6_T8"
0.9512573805998,31232,389031.32,4915,4949,39892.81,18311.02,1196.63,2543.41,0,351900.62,4187,4209,32813.6,17791.38,1025.1,2543.41,0,445153.05,4405,5243,47166.36,21773.32,1050.09,2543.41,0,441042.43,5665,5920,38444.47,17617.67,1095.91,2543.41,0,418719.77,4280,5695,42095.13,19839.48,1268.2,2543.41,0,424633.88,4321,5663,39365.68,15075.42,1041.99,2543.41,0
0.926825175415175,79491,235935.43,5106,6457,20939.43,36347.16,998.01,2545.19,0,232280.41,5797,5537,19448.29,41861.23,868.18,2545.19,0,243894.11,4307,6777,24840.4,29554.99,819.75,2545.19,0,239649.42,5093,7342,21184.24,29859.16,1117.62,2545.19,0,198584.96,5812,6411,18478.93,38826.29,1073.58,2545.19,0,240245.22,4686,6786,24933.63,36313.49,822.44,2545.19,0
0.923707291998022,76439,453473.66,4996,3947,15080.68,17487.82,905.72,2513.68,0,413431.11,5086,4727,16172.6,18582.47,731.19,2513.68,0,537238.47,4848,3711,14481.07,20398.68,793.43,2513.68,0,375321.35,4061,4224,17850.27,16873.97,791.42,2513.68,0,371839.1,4451,4040,14226.33,20489.66,958.97,2513.68,0,389904.32,5992,4071,17501.21,18193.1,846.08,2513.68,0
0.914527557302475,66864,345845.45,5075,5768,27650.04,19200.37,885.74,2555.52,0,292409.91,4372,6557,31112.88,20119.36,727.87,2555.52,0,316003.63,5982,6589,29047.1,20405.72,709.18,2555.52,0,413969.72,6073,4901,32631.27,17180.41,750.88,2555.52,0,385633.72,5097,5811,24074.71,19701.91,1025.29,2555.52,0,338263.42,5246,6197,25883.45,22114.99,906.4,2555.52,0
0.912711457131618,67197,260516.59,4982,7056,32196.51,22712.5,1472.18,2277.85,0,263223.69,4161,6198,32945.1,25028.88,1467.94,2277.85,0,301427.54,5186,8362,35173.27,27228.03,1351.19,2277.85,0,249913.06,4639,5909,37864.3,25151.67,1714.12,2277.85,0,237571.21,5390,7941,30449.72,23407.96,1431.7,2277.85,0,234627.46,5162,5977,28294.68,21471.97,1369.93,2277.85,0
0.910160296411858,22919,394135.37,5053,6236,35474.04,6131.77,1178.58,2637.57,0,468071.76,4251,6479,34706.52,6427.83,1070.75,2637.57,0,333413.8,4128,5073,35212.03,5895.66,1250.54,2637.57,0,375885.8,5908,5169,29298.13,6365.52,1137.06,2637.57,0,431259.04,5140,5785,32680.23,5631.81,1345.64,2637.57,0,446901.56,4938,6540,35828.47,5310.51,1139.63,2637.57,0
0.908607126832325,22253,310085.08,4994,5161,31889.62,24765.78,709.2,2371.68,0,278661.53,4049,4413,27603.34,27236.1,633.34,2371.68,0,324163.11,4450,5915,34155.29,23206.64,694.58,2371.68,0,353651.42,5378,4452,27279.2,20486.63,677.89,2371.68,0,365645.11,5816,5869,34959.19,19922.92,758.15,2371.68,0,330742.26,4613,4205,29404.89,21820.72,668.23,2371.68,0
0.907408426993275,33506,139345.31,5093,5583,22299.78,29907.16,984.97,2873.81,0,157351.8,4607,4507,17884.07,24667.39,835.73,2873.81,0,158195.83,4840,6338,20845.59,24804.68,1005.81,2873.81,0,116186.52,5191,5690,19983.56,33596.27,905.14,2873.81,0,111930.74,5128,5372,26514.53,28776.85,1138.15,2873.81,0,152794.18,6084,6487,22703.6,35291.63,922.31,2873.81,0
0.905374229490288,7696,380638.22,5018,5377,21712.18,20165.05,1208.95,3289.74,0,320372.6,5403,5419,18852.56,21049.06,1064.62,3289.74,0,441731.2,5936,4773,21293.61,22172.98,1250,3289.74,0,399368.44,4624,5944,23835.31,21977.94,1047.32,3289.74,0,306176.37,4254,6172,19425.58,21211.72,1231.63,3289.74,0,328123.74,4065,5478,21774.33,17416.94,1351.42,3289.74,0
0.90258787942462,79927,394280.55,4956,5677,36129.1,7208.53,828.83,2483.23,0,348103.56,5280,6606,34708.4,8141.62,945.36,2483.23,0,378365.49,4131,6715,35684.8,6263.08,841.84,2483.23,0,443369.67,4556,6579,39701.34,6546.36,682.84,2483.23,0,471567,4433,5229,29770.01,6229.6,703.29,2483.23,0,407157.61,5242,6512,40918.14,5914.02,969.28,2483.23,0
