"ID","M1_T1","M1_T2","M1_T3","M1_T4","M1_T5","M1_T6","M1_T7","M1_T8","M2_T1","M2_T2","M2_T3","M2_T4","M2_T5","M2_T6","M2_T7","M2_T8","M3_T1","M3_T2","M3_T3","M3_T4","M3_T5","M3_T6","M3_T7","M3_T8","M4_T1","M4_T2","M4_T3","M4_T4","M4_T5","M4_T6","M4_T7","M4_T8","M5_T1","M5_T2","M5_T3","M5_T4","M5_T5","M5_T6","M5_T7","M5_T8","M6_T1","M6_T2","M6_T3","M6_T4","M6_T5","M6_T6","M6_T7","M6_T8"
8,6153.82,204,376,7736.47,6875.43,489.19,1405.16,0,6518.56,187,341,6252.8,6372.05,432.66,1405.16,0,6224.33,244,412,7761.05,6325.53,540.91,1405.16,0,6821.11,218,442,7190.96,7330.42,474.48,1405.16,0,6455.29,207,338,8416.85,5882.7,420.83,1405.16,0,5882.98,218,351,8669.23,7780.92,560.81,1405.16,0
17,6067.88,201,430,8515.62,5007.97,525.6,1250.72,0,5716.51,178,429,9140.49,5767.32,461.32,1250.72,0,7070.32,170,420,7425.44,4464.02,453.8,1250.72,0,4856.11,238,346,7620.4,4710.23,433.04,1250.72,0,7038.25,205,379,7475.79,5657.95,488.22,1250.72,0,7161.82,219,467,10203.43,5307.13,619.01,1250.72,0
32,6266.43,193,564,5987.08,7201.92,539.14,1561.25,0,6295.43,228,602,5432.56,6138.14,519.11,1561.25,0,6322.5,205,590,5585.88,6397.54,523.46,1561.25,0,6446.91,193,608,5714.8,6549.02,628.65,1561.25,0,5569.45,185,479,5919.48,6406.09,510.89,1561.25,0,5798.35,186,541,6272.43,6947.39,604.24,1561.25,0
43,5825.52,193,539,6442.93,8094.47,702.1,2884.59,0,5678.19,160,619,5351.88,7752.64,609.13,2884.59,0,5000.2,180,476,5773.02,9012.87,767.07,2884.59,0,4844.76,224,580,7454.93,8751.88,696.28,2884.59,0,5710.73,162,636,7023.9,7081.99,588.19,2884.59,0,6071.23,222,642,7730.47,8190.35,589.69,2884.59,0
46,5010.65,205,226,6056.88,8413.57,338.14,1797.21,0,4598.31,246,249,5513.12,10007.94,312.68,1797.21,0,4751.96,181,219,4914.21,6874.86,288.29,1797.21,0,5956.78,235,221,4954.97,9558.37,317.91,1797.21,0,5688.62,231,248,5593.14,9646.4,323.71,1797.21,0,5310.19,192,257,6261.02,7968.6,368.08,1797.21,0
50,4147.02,198,378,4482.45,4871.29,627.2,1281.51,0,4486.97,166,428,3860.67,5636.75,531.54,1281.51,0,3715.61,199,344,5288.04,4865.31,690.54,1281.51,0,3330.22,220,325,4597.85,3915.18,548.78,1281.51,0,3891.24,212,374,4634.03,5824.01,547.08,1281.51,0,4227.83,194,348,4519.48,4956.04,515.09,1281.51,0
53,4454.69,187,664,5043.94,7769.4,372.93,783.82,0,4566.38,216,766,4424.29,6769.49,380.82,783.82,0,4795.46,152,796,4663.91,6803.56,301.77,783.82,0,5309.16,208,571,5304.33,8801.86,307.25,783.82,0,4262.38,186,695,4379.98,6250.62,400.35,783.82,0,5333.26,183,640,5793.22,6741.37,336.52,783.82,0
92,5704.1,190,286,5455.73,8825.41,471.94,2069.48,0,6756.75,223,293,6507.61,10578.46,560.86,2069.48,0,5820.91,176,334,5273.65,7900.67,408.22,2069.48,0,6411.18,195,296,4687.43,8825.47,411.92,2069.48,0,5646.73,222,298,5842.86,9462.13,486.35,2069.48,0,4724.8,176,243,5786.48,9543.09,385.92,2069.48,0
101,6747.06,207,316,8664.86,5866.28,455.68,2050.44,0,7610.77,185,254,9574.61,6879.35,499.32,2050.44,0,6537.78,189,353,7311.32,5239.37,458.5,2050.44,0,5668.64,239,355,9058.48,6915.73,487.2,2050.44,0,6222.4,220,356,9656.56,6235.17,395.86,2050.44,0,7226.93,183,367,9558.59,5413.08,388.15,2050.44,0
112,2191.9,199,685,6166.51,7167.01,458.24,2778.32,0,2208.26,206,758,6242.82,6475.29,470.4,2778.32,0,1878.59,172,785,6260.14,8125.14,519.2,2778.32,0,2626.07,210,549,5938.57,6407.88,422.57,2778.32,0,2309.93,208,753,6821.15,8343.2,463.78,2778.32,0,2371.27,190,796,6903.36,6048.55,423.44,2778.32,0
